description,vlan,usage,iPv4_address,mac_address,port,connected_to,last_seen,location,model,code
antMiner-378,1204,49.1 MB,10.12.20.172,84:a8:f8:06:73:de,19,M12-POD4-28-sw,4/14/2022 00:39,M12-POD4-28-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-397,1204,47.4 MB,10.12.20.174,b8:60:d0:29:df:fe,9,M12-POD4-27-sw,4/14/2022 00:39,M12-POD4-27-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-365,1204,47.9 MB,10.12.20.175,5a:5e:49:c8:f0:89,15,M12-POD4-24-sw,4/14/2022 00:39,M12-POD4-24-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-607,1204,46.9 MB,10.12.20.176,48:f4:4d:bb:58:2c,11,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-509,1204,45.1 MB,10.12.20.177,3a:ad:09:1f:ef:04,14,M12-POD4-24-sw,4/14/2022 00:39,M12-POD4-24-3-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-572,1204,45.9 MB,10.12.20.179,24:a7:dc:d4:d7:3c,20,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-4-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-364,1204,47.8 MB,10.12.20.181,8c:8a:56:21:af:23,17,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-535,1204,51.9 MB,10.12.20.184,66:23:da:e0:52:01,13,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-549,1204,45.0 MB,10.12.20.185,ae:65:f1:74:91:9e,15,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-3-5,Antminer T17+ (vnish 2.0.4), T17+
antMiner-391,1204,47.0 MB,10.12.20.187,f4:ef:7f:80:54:82,9,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-2-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-643,1204,45.1 MB,10.12.20.188,72:85:bc:00:c9:49,6,M12-POD4-26-sw,4/14/2022 00:39,M12-POD4-26-2-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-585,1204,43.8 MB,10.12.20.190,bc:85:c0:67:f2:cb,8,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-2-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-394,1204,47.6 MB,10.12.20.191,ac:1c:81:d5:8d:8d,7,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-2-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-387,1204,46.3 MB,10.12.20.193,34:9a:81:d3:84:c0,13,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-3-3,Antminer T17+ (vnish 2.0.4), T17+
antMiner-407,1204,46.8 MB,10.12.20.194,3a:f2:10:dc:fe:d1,17,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-4-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-373,1204,46.8 MB,10.12.20.195,76:4a:c5:93:73:87,19,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-4-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-642,1204,46.5 MB,10.12.20.196,ac:60:be:50:1e:41,11,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-3-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-485,1204,42.0 MB,10.12.20.197,be:e8:2a:49:cd:94,12,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-3-2,Antminer T17+ (vnish 2.0.4), T17+
antMiner-383,1204,46.9 MB,10.12.20.198,7e:03:00:f9:fd:f5,16,M12-POD4-25-sw,4/14/2022 00:39,M12-POD4-25-4-1,Antminer T17+ (vnish 2.0.4), T17+
antMiner-384,1204,44.9 MB,10.12.20.211,7e:ae:02:f2:cc:8c,4,M12-POD4-03-sw,4/14/2022 00:39,M12-POD4-3-1-4,Antminer T17+ (vnish 2.0.4), T17+
antMiner-236,1204,46.7 MB,10.12.20.213,16:c1:0d:77:81:66,4,M12-POD4-06-sw,4/14/2022 00:39,M12-POD4-6-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-157,1204,55.2 MB,10.12.20.217,02:b4:4c:f6:e4:0d,9,M12-POD4-30-sw,4/14/2022 00:39,M12-POD4-30-2-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-787,1204,46.9 MB,10.12.20.218,0e:1e:d8:17:bd:89,5,M12-POD4-03-sw,4/14/2022 00:39,M12-POD4-3-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-208,1204,60.1 MB,10.12.20.219,ca:0a:97:9e:58:b2,5,M12-POD4-04-sw,4/14/2022 00:39,M12-POD4-4-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-403,1204,48.1 MB,10.12.20.220,64:c0:ed:7a:d1:55,4,M12-POD4-10-sw,4/14/2022 00:39,M12-POD4-10-1-4,Antminer S17+ (vnish 2.0.4), S17+
antMiner-381,1204,47.1 MB,10.12.20.221,68:9a:e8:05:a2:20,5,M12-POD4-10-sw,4/14/2022 00:39,M12-POD4-10-1-5,Antminer S17+ (vnish 2.0.4), S17+
antMiner-198,1204,63.0 MB,10.12.20.222,ce:11:d9:37:94:ea,4,M12-POD4-11-sw,4/14/2022 00:39,M12-POD4-11-1-4,Antminer S17+ (vnish 2.0.4), S17+
